date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:11	73091/73091	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Oct%202020%2013:47:58%20GMT	https://5f84704e796cf.site123.me/	C:/My%20Web%20Sites/SnapLingo/5f84704e796cf.site123.me/index.html	(from )
13:18:11	125/125	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Oct%202020%2007:48:09%20GMT	https://5f84704e796cf.site123.me/robots.txt		(from )
13:18:12	29659/29659	---M--	200	added ('OK')	image/jpeg	etag:%2284e78d30f573648b9c04cf598bf1a81c%22	https://cdn-cms.f-static.net/uploads/4356402/normal_5f84767334d2e-thumbnail.jpg	C:/My%20Web%20Sites/SnapLingo/cdn-cms.f-static.net/uploads/4356402/normal_5f84767334d2e-thumbnail.jpg	(from https://5f84704e796cf.site123.me/)
13:18:13	5049/5049	---M-Z	200	added ('OK')	image/png	date:Sun,%2028%20Jun%202020%2009:50:46%20GMT	http://cdn-cms-s.f-static.net/manager/site123_website/files/logos/brand_files_2020/Icons/Png/Icon_blue.png?v=r6915	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/manager/site123_website/files/logos/brand_files_2020/Icons/Png/Icon_blue8ab6.png	(from https://5f84704e796cf.site123.me/)
13:18:14	3762/3762	---M-Z	200	added ('OK')	image/png	date:Wed,%2028%20Oct%202020%2007:48:13%20GMT	http://cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=152&height=152&resizeType=pwaIcon&w=&orderScreen=&websiteID=4356402&tranW=&v=r6915_21832883	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage4db2.png	(from https://5f84704e796cf.site123.me/)
13:18:14	11056/11056	---M-Z	200	added ('OK')	image/png	date:Mon,%2026%20Oct%202020%2013:48:15%20GMT	http://cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=180&height=180&resizeType=pwaIcon&w=&orderScreen=&websiteID=4356402&tranW=&v=r6915_21832883	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImagec740.png	(from https://5f84704e796cf.site123.me/)
13:18:15	11056/11056	---M-Z	200	added ('OK')	image/png	date:Wed,%2028%20Oct%202020%2007:48:13%20GMT	http://cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=167&height=167&resizeType=pwaIcon&w=&orderScreen=&websiteID=4356402&tranW=&v=r6915_21832883	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage89d8.png	(from https://5f84704e796cf.site123.me/)
13:18:16	210507/210507	---M-Z	200	added ('OK')	text/css	date:Sun,%2011%20Oct%202020%2010:01:54%20GMT	http://cdn-cms-s.f-static.net/versions/2/css/minimize_main.css?v=r6915	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/versions/2/css/minimize_main8ab6.css	(from https://5f84704e796cf.site123.me/)
13:18:17	86265/86265	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2013:48:00%20GMT	http://cdn-cms-s.f-static.net/versions/2/css/websiteCSS.css?w=&orderScreen=&websiteID=4356402&onlyContent=&tranW=&v=r6915_21832883	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/versions/2/css/websiteCSS328b.css	(from https://5f84704e796cf.site123.me/)
13:18:18	30361/30361	---M--	200	added ('OK')	image/png	etag:%22eb6104f5424abd60bed3ec8464d179be%22	https://cdn-cms.f-static.net/uploads/4356402/400_5f8472c7d6258.png	C:/My%20Web%20Sites/SnapLingo/cdn-cms.f-static.net/uploads/4356402/400_5f8472c7d6258.png	(from https://5f84704e796cf.site123.me/)
